Name,Year of release,Genre,Runtime,Rating
The Shawshank Redemption,(1994),Drama,142 min,9.3
The Godfather,(1972),"Crime, Drama",175 min,9.2
The Godfather: Part II,(1974),"Crime, Drama",202 min,9
The Dark Knight,(2008),"Action, Crime, Drama",152 min,9
12 Angry Men,(1957),"Crime, Drama",96 min,8.9
Schindler's List,(1993),"Biography, Drama, History",195 min,8.9
The Lord of the Rings: The Return of the King,(2003),"Adventure, Drama, Fantasy",201 min,8.9
Pulp Fiction,(1994),"Crime, Drama",154 min,8.9
"Il buono, il brutto, il cattivo",(1966),Western,161 min,8.8
Fight Club,(1999),Drama,139 min,8.8
Joker,(2019),"Crime, Drama, Thriller",122 min,8.5
The Lord of the Rings: The Fellowship of the Ring,(2001),"Action, Adventure, Drama",178 min,8.8
Forrest Gump,(1994),"Drama, Romance",142 min,8.8
Inception,(2010),"Action, Adventure, Sci-Fi",148 min,8.8
Star Wars: Episode V - The Empire Strikes Back,(1980),"Action, Adventure, Fantasy",124 min,8.7
The Lord of the Rings: The Two Towers,(2002),"Adventure, Drama, Fantasy",179 min,8.7
The Matrix,(1999),"Action, Sci-Fi",136 min,8.7
One Flew Over the Cuckoo's Nest,(1975),Drama,133 min,8.7
Goodfellas,(1990),"Biography, Crime, Drama",146 min,8.7
Shichinin no samurai,(1954),"Action, Adventure, Drama",207 min,8.6
Se7en,(1995),"Crime, Drama, Mystery",127 min,8.6
Cidade de Deus,(2002),"Crime, Drama",130 min,8.6
La vita è bella,(1997),"Comedy, Drama, Romance",116 min,8.6
The Silence of the Lambs,(1991),"Crime, Drama, Thriller",118 min,8.6
Star Wars,(1977),"Action, Adventure, Fantasy",121 min,8.6
It's a Wonderful Life,(1946),"Drama, Family, Fantasy",130 min,8.6
Saving Private Ryan,(1998),"Drama, War",169 min,8.6
Sen to Chihiro no kamikakushi,(2001),"Animation, Adventure, Family",125 min,8.6
The Green Mile,(1999),"Crime, Drama, Fantasy",189 min,8.6
Léon,(1994),"Action, Crime, Drama",110 min,8.5
Seppuku,(1962),"Action, Drama, Mystery",133 min,8.7
Interstellar,(2014),"Adventure, Drama, Sci-Fi",169 min,8.6
The Usual Suspects,(1995),"Crime, Mystery, Thriller",106 min,8.5
The Lion King,(1994),"Animation, Adventure, Drama",88 min,8.5
American History X,(1998),Drama,119 min,8.5
Back to the Future,(1985),"Adventure, Comedy, Sci-Fi",116 min,8.5
The Pianist,(2002),"Biography, Drama, Music",150 min,8.5
